typeid,type,valid,val,enum
1,Cultural Affiliation,657,Northwest Coast, 
1,Cultural Affiliation,1161,Santa Ana Pueblo, 
1,Cultural Affiliation,188,Ancestral Puebloan, 
1,Cultural Affiliation,189,European, 
1,Cultural Affiliation,190,Hispanic, 
1,Cultural Affiliation,191,Mexican, 
1,Cultural Affiliation,192,Native American, 
1,Cultural Affiliation,193,Not Southwest, 
1,Cultural Affiliation,194,Pre-Historic Southwest, 
1,Cultural Affiliation,195,Spanish, 
1,Cultural Affiliation,196,Ute, 
1,Cultural Affiliation,268,Jicarilla Apache, 
1,Cultural Affiliation,1162,Kiowa, 
1,Cultural Affiliation,1157,Nambe Pueblo, 
1,Cultural Affiliation,5,Navajo/Diné, 
1,Cultural Affiliation,245,Hispanic Southwest, 
1,Cultural Affiliation,480,Isleta Pueblo, 
1,Cultural Affiliation,479,Laguna Pueblo, 
1,Cultural Affiliation,57,Puebloan, 
1,Cultural Affiliation,1348,Haida, 
1,Cultural Affiliation,276,Plains Indian, 
1,Cultural Affiliation,1223,Muscogee, 
1,Cultural Affiliation,1222,Iroquois (Haudenosaunee), 
1,Cultural Affiliation,238,Tibetan, 
1,Cultural Affiliation,1163,Yaqui, 
1,Cultural Affiliation,566,Cherokee, 
1,Cultural Affiliation,275,Lakota, 
1,Cultural Affiliation,1221,Shawnee, 
1,Cultural Affiliation,750,Sisseton-Wahpeton Oyate, 
1,Cultural Affiliation,397,Potayatami, 
1,Cultural Affiliation,1216,Tlingit, 
1,Cultural Affiliation,1217,Shoshone, 
1,Cultural Affiliation,1218,Havasupai, 
1,Cultural Affiliation,1219,Koasati/Coushatta, 
1,Cultural Affiliation,1159,Sandia Pueblo, 
1,Cultural Affiliation,546,Apache, 
1,Cultural Affiliation,274,Zuni Pueblo, 
1,Cultural Affiliation,380,Comanche, 
1,Cultural Affiliation,379,Taos Pueblo, 
1,Cultural Affiliation,378,Picuris Pueblo, 
1,Cultural Affiliation,273,Acoma Pueblo, 
1,Cultural Affiliation,376,Tewa, 
1,Cultural Affiliation,272,San Juan/Okay Owingeh Pueblo, 
1,Cultural Affiliation,547,Santo Domingo Pueblo, 
1,Cultural Affiliation,271,Jemez Pueblo, 
1,Cultural Affiliation,270,Hopi Pueblo, 
1,Cultural Affiliation,269,Paiute, 
1,Cultural Affiliation,724,Seneca, 
1,Cultural Affiliation,723,Arapaho, 
1,Cultural Affiliation,714,Papago/Tohono O'odham, 
1,Cultural Affiliation,713,Pomo, 
1,Cultural Affiliation,712,Pima/Akimel O'odham, 
1,Cultural Affiliation,1201,Sioux, 
1,Cultural Affiliation,425,San Ildefonso Pueblo, 
1,Cultural Affiliation,1220,Seminole, 
1,Cultural Affiliation,426,Santa Clara Pueblo, 
1,Cultural Affiliation,1146,Southern Ute, 
1,Cultural Affiliation,1147,Northern Ute, 
1,Cultural Affiliation,1148,Ute Mountain Ute, 
1,Cultural Affiliation,1158,Pojoaque Pueblo, 
1,Cultural Affiliation,1149,Multi-Tribal, 
1,Cultural Affiliation,1150,"Apache, White Mountain", 
1,Cultural Affiliation,1151,"Apache, Chiricahua", 
1,Cultural Affiliation,1152,"Apache, Mescalero", 
1,Cultural Affiliation,1153,"Apache, Yavapai", 
1,Cultural Affiliation,1154,Zia Pueblo, 
1,Cultural Affiliation,1155,Tesuque Pueblo, 
1,Cultural Affiliation,1156,Cochiti Pueblo, 
1,Cultural Affiliation,1160,San Felipe Pueblo, 
2,Material,2,Wood, 
2,Material,1170,Airbrush, 
2,Material,837,Digital/Electronic, 
2,Material,1169,"Ink, India", 
2,Material,1213,Pine Needle, 
2,Material,1214,Spruce, 
2,Material,1215,Wire, 
2,Material,382,Yarn, 
2,Material,381,Ceramic, 
2,Material,377,Soft Pastels, 
2,Material,375,Pencil, 
2,Material,374,"Paint, Tempera", 
2,Material,373,Pen & Ink, 
2,Material,372,"Ink, Printmaking", 
2,Material,371,"Paint, Watercolor", 
2,Material,370,Paint, 
2,Material,72,Hide, 
2,Material,71,Leather, 
2,Material,70,Iron, 
2,Material,68,Metal, 
2,Material,1168,"Paint, Gouache", 
2,Material,1167,"Paint, Casein", 
2,Material,1166,Colored Pencil, 
2,Material,1165,Oil Pastels, 
2,Material,1164,Graphite/Conte Crayon, 
2,Material,1185,Charcoal, 
2,Material,703,Turquoise, 
2,Material,704,Coral, 
2,Material,705,Feather, 
2,Material,1202,Willow, 
2,Material,1203,Cattail, 
2,Material,1204,Bear Grass, 
2,Material,1205,Yucca, 
2,Material,211,"Beads, plastic", 
2,Material,1206,Wicker, 
2,Material,214,Linen, 
